# Protein L FRET Efficiency histograms
# obtained from Robert Best by email 8/23/13
#
# Describe Fig 2 of "Characterizing the unfolded states of 
# proteins using single-molecule FRET spectroscopy and molecular simulations" 
# First column is efficiency, the following ones are the 5 denaturant
# concentrations shown.  
#
# -- TJL 8/23/13
#
-6.6666667e-02   2.1700000e+02   1.6700000e+02   7.5900000e+02   5.6200000e+02   2.2200000e+02
  -3.3333333e-02   7.2300000e+02   6.3800000e+02   2.3900000e+03   1.4900000e+03   7.8500000e+02
   0.0000000e+00   1.0110000e+03   8.7300000e+02   4.0370000e+03   2.0280000e+03   1.4550000e+03
   3.3333333e-02   8.1400000e+02   9.2600000e+02   4.1800000e+03   2.1650000e+03   1.8000000e+03
   6.6666667e-02   5.4500000e+02   7.3800000e+02   3.7370000e+03   1.4420000e+03   1.7310000e+03
   1.0000000e-01   3.0100000e+02   4.8800000e+02   2.4430000e+03   1.0320000e+03   1.4020000e+03
   1.3333333e-01   1.7300000e+02   3.4300000e+02   1.7510000e+03   6.2200000e+02   1.1750000e+03
   1.6666667e-01   1.2900000e+02   2.3200000e+02   1.2640000e+03   4.5000000e+02   9.4500000e+02
   2.0000000e-01   9.0000000e+01   1.8800000e+02   1.0630000e+03   4.4300000e+02   7.4100000e+02
   2.3333333e-01   1.0300000e+02   1.6700000e+02   1.0170000e+03   3.8900000e+02   9.0600000e+02
   2.6666667e-01   8.4000000e+01   1.6600000e+02   9.8000000e+02   4.4600000e+02   1.0690000e+03
   3.0000000e-01   7.9000000e+01   1.8900000e+02   1.2550000e+03   6.0900000e+02   1.1890000e+03
   3.3333333e-01   8.2000000e+01   1.9200000e+02   1.4400000e+03   6.7700000e+02   1.4520000e+03
   3.6666667e-01   9.1000000e+01   1.8700000e+02   1.8790000e+03   9.5400000e+02   1.6820000e+03
   4.0000000e-01   9.0000000e+01   1.7800000e+02   1.8660000e+03   1.0570000e+03   1.7840000e+03
   4.3333333e-01   8.2000000e+01   2.8700000e+02   2.3730000e+03   1.0610000e+03   2.0680000e+03
   4.6666667e-01   9.6000000e+01   3.8100000e+02   3.2170000e+03   1.7280000e+03   1.1970000e+03
   5.0000000e-01   1.1400000e+02   4.4300000e+02   3.4360000e+03   1.5730000e+03   1.3770000e+03
   5.3333333e-01   1.5700000e+02   5.3500000e+02   3.5860000e+03   1.5670000e+03   1.0400000e+03
   5.6666667e-01   1.9200000e+02   6.4200000e+02   3.6380000e+03   1.5660000e+03   7.2800000e+02
   6.0000000e-01   2.6800000e+02   7.3200000e+02   3.5130000e+03   1.2250000e+03   4.6700000e+02
   6.3333333e-01   3.7700000e+02   9.6200000e+02   3.5230000e+03   1.0940000e+03   3.5500000e+02
   6.6666667e-01   6.0600000e+02   1.0850000e+03   3.0280000e+03   8.3300000e+02   1.9200000e+02
   7.0000000e-01   8.0400000e+02   1.1520000e+03   2.8120000e+03   6.8300000e+02   1.6400000e+02
   7.3333333e-01   1.0370000e+03   1.1360000e+03   2.3380000e+03   5.6700000e+02   1.1100000e+02
   7.6666667e-01   1.0450000e+03   1.0060000e+03   1.8100000e+03   3.8500000e+02   8.7000000e+01
   8.0000000e-01   1.0620000e+03   6.8300000e+02   1.2290000e+03   2.4000000e+02   7.6000000e+01
   8.3333333e-01   8.6000000e+02   4.2300000e+02   6.7000000e+02   1.5800000e+02   7.1000000e+01
   8.6666667e-01   6.0900000e+02   2.5100000e+02   4.5800000e+02   9.0000000e+01   4.4000000e+01
   9.0000000e-01   2.9200000e+02   1.2200000e+02   2.4900000e+02   6.4000000e+01   4.1000000e+01
   9.3333333e-01   1.2300000e+02   7.2000000e+01   1.4400000e+02   3.4000000e+01   2.3000000e+01
   9.6666667e-01   3.2000000e+01   4.0000000e+01   8.3000000e+01   2.4000000e+01   6.0000000e+00
   1.0000000e+00   1.6000000e+01   2.0000000e+01   3.1000000e+01   6.0000000e+00   5.0000000e+00
   1.0333333e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
